Combined_Key,Cases_per_Cap,Deaths_per_Cap,Unemployment_Rate_Jan2020,Unemployment_Rate_Oct2020,9-Month Difference
"Mellette, South Dakota, US",0.101407084,0.000485201,6.9,4.3,-2.6
"Hardeman, Tennessee, US",0.101317365,0.001596806,5.8,9.4,3.6
"Platte, Nebraska, US",0.101284733,0.001105468,2.9,2.3,-0.6
"Madison, Nebraska, US",0.101085501,0.000997179,3,3.1,0.1
"Phillips, Kansas, US",0.101069927,0.002292702,2.7,2.9,0.2
"Ellis, Kansas, US",0.101040171,0.001050678,2.3,2.9,0.6
"Roseau, Minnesota, US",0.100692384,0.000593472,4.7,2.8,-1.9
"Lincoln, South Dakota, US",0.100690355,0.00093247,2.9,2.7,-0.2
"Williams, North Dakota, US",0.10037511,0.000691692,2.1,11.6,9.5
"Sac, Iowa, US",0.100298323,0.001028701,3.5,2,-1.5
"Issaquena, Mississippi, US",0.100226074,0.003014318,11.3,8.5,-2.8
"Okfuskee, Oklahoma, US",0.100225131,0.00125073,5.1,6.7,1.6
"Dyer, Tennessee, US",0.100217982,0.001641594,5.5,8.2,2.7
"Oconto, Wisconsin, US",0.099947271,0.00102821,5.7,4.4,-1.3
"Wells, North Dakota, US",0.09989567,0.001043297,5,2.8,-2.2
"Fond du Lac, Wisconsin, US",0.099823023,0.000638279,3.7,3.7,0
"Winnebago, Iowa, US",0.099768206,0.002511107,3.2,3,-0.2
"Stearns, Minnesota, US",0.099736148,0.000900202,4,3.5,-0.5
"Osceola, Iowa, US",0.099530044,0.000839208,2.6,1.6,-1
"Coke, Texas, US",0.099498081,0.002657219,2.8,5.2,2.4
"Wallace, Kansas, US",0.099472991,0,2.8,2.5,-0.3
"Crane, Texas, US",0.099228685,0.001876173,5.2,15,9.8
"Hancock, Iowa, US",0.09915334,0.001975541,3.2,2.5,-0.7
"Nodaway, Missouri, US",0.099040377,0.000814775,3.8,2.5,-1.3
"Bailey, Texas, US",0.099,0.001571429,4,4.4,0.4
"Cassia, Idaho, US",0.098918019,0.000832293,2.9,3.3,0.4
"Kingsbury, South Dakota, US",0.098805426,0.002632112,3.7,2.5,-1.2
"Sullivan, Missouri, US",0.098702578,0.001478075,5,3.3,-1.7
"Hyde, South Dakota, US",0.098385857,0,3.9,2.5,
"Yankton, South Dakota, US",0.098229158,0.000745156,3.2,3.5,0.3
"St. Francis, Arkansas, US",0.098183564,0.000720173,5.8,7.7,1.9
"Ransom, North Dakota, US",0.098121886,0.001916443,2.6,2.1,-0.5
"Howard, Texas, US",0.098052586,0.001336461,3.4,7.9,4.5
"Ziebach, South Dakota, US",0.09796807,0.002539913,4.1,4.1,0
"Chippewa, Minnesota, US",0.097881356,0.001525424,5,2.9,-2.1
"Stewart, Georgia, US",0.097870412,0.002567588,4,4.3,0.3
"Cherokee, Iowa, US",0.097819315,0.001424121,3.7,2,-1.7
"Polk, Minnesota, US",0.097755388,0.001275348,4.5,3.2,-1.3
"Elliott, Kentucky, US",0.097645337,0.000133032,11.3,9.4,-1.9
"Russell, Kansas, US",0.097578763,0.00247958,3.1,3.7,0.6
"Brown, Wisconsin, US",0.097576188,0.000616159,3.7,4.6,0.9
"Cass, Indiana, US",0.097455491,0.000955186,4.1,4.3,0.2
"Lyon, Iowa, US",0.097405359,0.001786474,2.7,1.3,-1.4
"Bristol Bay plus Lake and Peninsula, Alaska, US",0.097361809,0,11.1,6.1,-5
"Pocahontas, Iowa, US",0.097144584,0.000604321,2.6,1.8,-0.8
"Tama, Iowa, US",0.096890946,0.00326332,5.1,3,-2.1
"Kidder, North Dakota, US",0.096774194,0.002822581,5.9,3.2,-2.7
"Miner, South Dakota, US",0.096570397,0.002707581,3.2,4.3,1.1
"Miami-Dade, Florida, US",0.096541698,0.001474085,1.5,8.8,7.3
"Kewaunee, Wisconsin, US",0.096505824,0.001125575,4.1,3.2,-0.9
"Crockett, Tennessee, US",0.096486297,0.002037948,4.5,6.3,1.8
"Nance, Nebraska, US",0.096334186,0.001136687,3.1,2,-1.1
"Dawson, Nebraska, US",0.096249205,0.000932401,3.2,2.2,-1
"Terry, Texas, US",0.096052525,0.002836994,3.9,7.2,3.3
"Emmet, Iowa, US",0.096003475,0.002497828,3.4,3.1,-0.3
"Fremont, Wyoming, US",0.095947633,0.00132447,5.6,5.3,-0.3
"Marshall, Iowa, US",0.095887627,0.001346237,7.6,3.7,-3.9
"Dawson, Montana, US",0.095785441,0.002089864,3.3,5.1,1.8
"Brown, Kansas, US",0.095566708,0.001359264,3.3,3.6,0.3
"Trego, Kansas, US",0.095255084,0.001070282,3.3,2.9,-0.4
"Trempealeau, Wisconsin, US",0.095079092,0.000843199,5.1,4.6,-0.5
"Mississippi, Arkansas, US",0.095053012,0.002189368,5.8,8.5,2.7
"Cerro Gordo, Iowa, US",0.094935218,0.001201413,3.5,2.9,-0.6
"Hand, South Dakota, US",0.094641178,0.000626763,3,2.3,-0.7
"Hot Spring, Arkansas, US",0.094637411,0.001421338,3.9,5.5,1.6
"Castro, Texas, US",0.094422311,0.001593625,2.8,3.4,0.6
"Moore, Texas, US",0.094412607,0.001957975,2.5,3.6,1.1
"Florence, Wisconsin, US",0.094062864,0.002793946,5.9,6.4,0.5
"Calumet, Wisconsin, US",0.093892871,0.000618898,3.4,3.5,0.1
"Crawford, Wisconsin, US",0.09385655,0.000681917,6.9,4.5,-2.4
"Phillips, Montana, US",0.093829034,0.002276176,5.3,3.3,-2
"Sheboygan, Wisconsin, US",0.093714236,0.000728282,3.4,3.9,0.5
"Langlade, Wisconsin, US",0.093543176,0.002032414,5.8,5,-0.8
"Franklin, Louisiana, US",0.093529853,0.003597302,8.8,8.5,-0.3
"Logan, Kansas, US",0.09341446,0,2.1,2,-0.1
"Kossuth, Iowa, US",0.093363937,0.00155269,3,2,-1
"Ida, Iowa, US",0.093294461,0.002478134,3.2,1.9,-1.3
"Bottineau, North Dakota, US",0.093282394,0.003024514,3.7,3.9,0.2
"Bolivar, Mississippi, US",0.093280658,0.002938488,7.8,8.4,0.6
"Pulaski, Illinois, US",0.093158388,0.000374883,6.2,6.8,0.6
"Decatur, Tennessee, US",0.093114979,0.001457601,6.8,8.4,1.6
"Forest, Wisconsin, US",0.092958685,0.002443359,6.8,10.4,3.6
"Winnebago, Wisconsin, US",0.092951421,0.000872565,3.5,4,0.5
"Marion, Ohio, US",0.092790315,0.001290461,4.9,4.9,0
"Dodge, Nebraska, US",0.092766307,0.001093942,3.1,2.3,-0.8
"Lawrence, Illinois, US",0.092741421,0.001339457,5,4.7,-0.3
"Whitfield, Georgia, US",0.092671178,0.000965325,5.7,4.2,-1.5
"Randall, Texas, US",0.092395053,0.001052914,2.6,4,1.4
"Franklin, Alabama, US",0.09234105,0.001084115,3.1,3.2,0.1
"Bowman, North Dakota, US",0.092261905,0.001322751,2,2.7,0.7
"Yell, Arkansas, US",0.092170001,0.001686894,4.4,4.3,-0.1
"Pipestone, Minnesota, US",0.092044707,0.001972387,5,2,-3
"Lauderdale, Tennessee, US",0.092029805,0.001014317,5.8,10.1,4.3
"Pickett, Tennessee, US",0.091917591,0.003169572,5.8,6,0.2
"Chaves, New Mexico, US",0.091851737,0.001067863,5,8.5,3.5
"Utah, Utah, US",0.091830849,0.000286058,2.5,3.1,0.6
"Maverick, Texas, US",0.091737339,0.00308232,9.8,14.1,4.3
"Lyon, Kansas, US",0.091730682,0.001536376,3.7,4.2,0.5
"Fallon, Montana, US",0.09170766,0.00035137,2.3,3.3,1
"Luna, New Mexico, US",0.091695137,0.001518411,16,13.5,-2.5
"Dickinson, Iowa, US",0.091551744,0.00069533,5,3,-2
"Apache, Arizona, US",0.091532544,0.002949073,11,12.7,1.7
"Watonwan, Minnesota, US",0.091401303,0.000458842,5,2.8,-2.2
"Montgomery, Mississippi, US",0.091355499,0.003069054,6.1,7.2,1.1
"Delaware, Iowa, US",0.091352654,0.001587208,3.4,2.1,-1.3
"Cole, Missouri, US",0.091328425,0.001003323,3.4,2.6,-0.8
"Johnson, Tennessee, US",0.091297504,0.00146166,4.4,6.8,2.4
"Burke, North Dakota, US",0.091252955,0.000472813,3.3,4.6,1.3
"Barron, Wisconsin, US",0.091216515,0.001105119,5.8,3.8,-2
"Bledsoe, Tennessee, US",0.091011683,0.000398301,5.9,9,3.1
"Clay, Minnesota, US",0.090732148,0.001074398,3.6,2.6,-1
"Tom Green, Texas, US",0.090696309,0.001317114,3.2,5.9,2.7
"Hill, Montana, US",0.090694006,0.001759282,4.1,4.1,0
"Hamlin, South Dakota, US",0.090687865,0.004542505,3.8,2.5,-1.3
"Lawrence, South Dakota, US",0.090620647,0.001006036,3.3,3.7,0.4
"Humboldt, Iowa, US",0.090604729,0.00167399,3.9,2.2,-1.7
"Black Hawk, Iowa, US",0.090544701,0.001470723,4.5,3.4,-1.1
"Kankakee, Illinois, US",0.090522656,0.001247019,5.4,5.2,-0.2
"Union, South Dakota, US",0.090384133,0.001569169,3.8,3.6,-0.2
"Clay, Tennessee, US",0.090216678,0.002495076,7.3,8.2,0.9
"Minidoka, Idaho, US",0.090213413,0.000998146,3.2,3.3,0.1
"Racine, Wisconsin, US",0.090173246,0.001176704,5.1,6,0.9
"Hutchinson, South Dakota, US",0.090111096,0.001920176,4.1,2.7,-1.4
"Harrison, Iowa, US",0.089970816,0.003487793,3.1,2.3,-0.8
"Marinette, Wisconsin, US",0.089888476,0.00094176,6.1,5.6,-0.5
"Putnam, Tennessee, US",0.089862297,0.001146489,3.8,6.3,2.5
"Yakutat, Alaska, US",0.089810017,0.001727116,11.9,6.8,-5.1
"Sutton, Texas, US",0.089777542,0.001324153,4.5,9.6,5.1
"Neshoba, Mississippi, US",0.089772649,0.004533278,6.2,6.9,0.7
"Jackson, Florida, US",0.089757401,0.002305339,3.6,4.9,1.3
"Glacier, Montana, US",0.089653167,0.001599651,8.5,7,-1.5
"Perry, Missouri, US",0.089569398,0.000783863,3.3,2.3,-1
"Hamilton, Iowa, US",0.089487579,0.001421512,3.4,2.5,-0.9
"Lowndes, Alabama, US",0.089450956,0.003084516,5.6,14.9,9.3
"Navajo, Arizona, US",0.089349464,0.002614403,8.1,9.6,1.5
"Hansford, Texas, US",0.089275792,0.002222634,2.5,3.7,1.2
"Randolph, Illinois, US",0.08916997,0.000943931,3.7,3.6,-0.1
"Clay, Iowa, US",0.089098402,0.000624376,3.9,2.4,-1.5
"Milwaukee, Wisconsin, US",0.0890279,0.000880805,4.5,7.6,3.1
"Clarke, Alabama, US",0.088942511,0.001016002,6.2,8.2,2
"Macon, Tennessee, US",0.088895212,0.001341354,3.3,6.7,3.4
"McHenry, North Dakota, US",0.088772846,0.003133159,4.9,3.6,-1.3
"Pennington, South Dakota, US",0.088710174,0.001028345,3.8,3.7,-0.1
"Cottle, Texas, US",0.08869814,0.003576538,5.1,4.3,-0.8
"Day, South Dakota, US",0.088679941,0.002581121,6.4,3.6,-2.8
"Allen, Louisiana, US",0.088617474,0.002770515,7.2,9.1,1.9
"Stevens, Kansas, US",0.088605287,0.000911577,2.9,2.5,-0.4
"Marathon, Wisconsin, US",0.08853138,0.00119388,3.6,3.7,0.1
"Benton, Minnesota, US",0.088458999,0.00158967,5.3,3.9,-1.4
"Cheyenne, Kansas, US",0.088445615,0.003763643,2.5,1.9,-0.6
"Jackson, Oklahoma, US",0.08842234,0.001426824,2.9,4,1.1
"Deer Lodge, Montana, US",0.088402626,0.001094092,3.8,3.5,-0.3
"Reagan, Texas, US",0.088334632,0.001558846,3.2,9.9,6.7
"Meade, Kansas, US",0.088271758,0.000991818,2.4,2.5,0.1
"Kings, California, US",0.088211063,0.000653851,9.4,9.3,-0.1
"Pickaway, Ohio, US",0.088201584,0.00085533,5.1,4.3,-0.8
"Sherman, Kansas, US",0.088051377,0.001183032,2.8,3,0.2
"Waupaca, Wisconsin, US",0.087899588,0.002471073,4.3,4.3,0
"Louisa, Iowa, US",0.087811509,0.002084277,4.4,2.5,-1.9
"Richland, North Dakota, US",0.087655313,0.00080361,2.5,2.1,-0.4
"Marshall, Indiana, US",0.087530805,0.001318691,3.5,4.2,0.7
"Cloud, Kansas, US",0.087525609,0.002162531,3.4,4,0.6
"Custer, Oklahoma, US",0.08743923,0.000689584,2.9,5.5,2.6
"Wilbarger, Texas, US",0.08739917,0.001879552,4,5.8,1.8
"Hall, Nebraska, US",0.087346992,0.001434323,5.2,3.8,-1.4
"Johnson, Nebraska, US",0.087162295,0.000788799,3.4,2.5,-0.9
"New Madrid, Missouri, US",0.087081284,0.001522605,5.2,3.8,-1.4
"Harper, Oklahoma, US",0.087039046,0.000813449,2.8,3.5,0.7
"Union, Florida, US",0.086959375,0.004134672,3,4.3,1.3
"Wayne, Nebraska, US",0.086947256,0.000532765,2.5,1.8,-0.7
"Holmes, Mississippi, US",0.086890065,0.003703704,10.2,14.3,4.1
"Mercer, Ohio, US",0.086830856,0.001748761,3.3,3,-0.3
"Washington, Idaho, US",0.086815774,0.001373357,4.6,4.6,0
"Madison, Missouri, US",0.086780278,0.000827267,4.6,3.9,-0.7
"St. Francois, Missouri, US",0.086751469,0.000862903,5.2,4.3,-0.9
"Jackson, Iowa, US",0.086681414,0.001183188,5,3.4,-1.6
"Wilkin, Minnesota, US",0.086676333,0.000805542,3.7,2.4,-1.3
"Blaine, Montana, US",0.086663673,0.002993564,4.8,3.8,-1
"Smith, Tennessee, US",0.086620033,0.000992211,3.3,5.5,2.2
"Brewster, Texas, US",0.086602195,0.000651961,2.8,5.4,2.6
"Washington, Wisconsin, US",0.086573945,0.000676302,3.5,4.2,0.7
"Clearwater, Idaho, US",0.086455002,0.00045683,6.5,7.4,0.9
"Malheur, Oregon, US",0.086421772,0.001537405,4.6,3.9,-0.7
"Deuel, South Dakota, US",0.086416916,0.001149161,8.1,3.5,-4.6
"Outagamie, Wisconsin, US",0.086340048,0.000766426,3.7,4.1,0.4
"Craig, Oklahoma, US",0.086338566,0.000282845,3.9,5.5,1.6
"Jefferson, Arkansas, US",0.086286364,0.001810727,6.2,8.6,2.4
"Murray, Minnesota, US",0.086282646,0.000610203,6.9,2.8,-4.1
"Winston, Mississippi, US",0.086271234,0.002283486,6,8.1,2.1
"Thurston, Nebraska, US",0.08624031,0.000968992,4,3.2,-0.8
"Jerome, Idaho, US",0.086228085,0.000614452,3.3,3.8,0.5
"Twin Falls, Idaho, US",0.086109257,0.001231612,3.5,4.8,1.3
"Albany, Wyoming, US",0.086085391,0.000231481,3.3,2.9,-0.4
"Mitchell, Iowa, US",0.086057056,0.001794823,2.3,1.7,-0.6
"Todd, Minnesota, US",0.085995783,0.000770354,5.8,3,-2.8
"Carroll, Illinois, US",0.085983922,0.001957358,4.7,4.2,-0.5
"Covington, Mississippi, US",0.085962653,0.003326894,5,7.2,2.2
"Chippewa, Wisconsin, US",0.085959974,0.000989823,5.9,4.2,-1.7
"Carroll, Mississippi, US",0.085955564,0.001709058,6.4,7.3,0.9
"York, Nebraska, US",0.085898092,0.000438629,2.5,2.1,-0.4
"Putnam, Ohio, US",0.085880512,0.001801483,4.3,2.8,-1.5
"Union, Illinois, US",0.085870414,0.001741428,6,4.4,-1.6
"Jackson, Alabama, US",0.085867586,0.000522992,3.7,3.9,0.2
